timestamp,cik,symbol,accessNumber,sentiment
1599631200,1326380,GME,0001326380-20-000119,"{'negative': 1.1103588354773188, 'polarity': 0.21904754201590013, 'positive': 0.8666215301286392, 'litigious': 0.3385240352064997, 'modal-weak': 0.5010155721056195, 'uncertainty': 1.056194989844279, 'constraining': 1.0697359512525388, 'modal-strong': 0.2979011509817197, 'modal-moderate': 0.12186865267433988}"
1591682400,1326380,GME,0001326380-20-000060,"{'negative': 1.130965844831486, 'polarity': 0.1803278035058017, 'positive': 0.81429540827867, 'litigious': 0.3619090703460756, 'modal-weak': 0.9952499434517076, 'uncertainty': 1.832164668627008, 'constraining': 0.6559601900022619, 'modal-strong': 0.2488124858629269, 'modal-moderate': 0.09047726758651888}"
1585288800,1326380,GME,0001326380-20-000022,"{'negative': 2.4277456647398843, 'polarity': -0.21092559231316976, 'positive': 0.7909948281107393, 'litigious': 0.7484027989047763, 'modal-weak': 1.143900212960146, 'uncertainty': 1.9348950410708847, 'constraining': 0.7909948281107393, 'modal-strong': 0.21904472163066627, 'modal-moderate': 0.1947064192272589}"
1576047600,1326380,GME,0001326380-19-000171,"{'negative': 1.6395931379990891, 'polarity': -0.12499995711590016, 'positive': 0.6376195536663124, 'litigious': 0.3339911947775922, 'modal-weak': 0.2580841050554122, 'uncertainty': 0.8653408228328526, 'constraining': 0.6831638074996205, 'modal-strong': 0.1518141794443601, 'modal-moderate': 0.1669955973887961}"
1568181600,1326380,GME,0001326380-19-000145,"{'negative': 1.6252683226004292, 'polarity': -0.16483510576623295, 'positive': 0.5826433609322293, 'litigious': 0.2299908003679853, 'modal-weak': 0.18399264029438825, 'uncertainty': 0.7513032812020852, 'constraining': 0.567310640907697, 'modal-strong': 0.12266176019625882, 'modal-moderate': 0.07666360012266175}"
<<<<<<< HEAD
1560232800,1326380,GME,0001326380-19-000102,"{'negative': 1.0297482837528604, 'polarity': -0.011235949539202268, 'positive': 0.5034324942791762, 'litigious': 0.11441647597254004, 'modal-weak': 1.3729977116704806, 'uncertainty': 2.1739130434782608, 'constraining': 0.43478260869565216, 'modal-strong': 0.11441647597254004, 'modal-moderate': 0.04576659038901602}"
1554184800,1326380,GME,0001326380-19-000052,"{'negative': 2.076141878032918, 'polarity': -0.21879582417753696, 'positive': 0.6653659512732003, 'litigious': 0.5903246785732152, 'modal-weak': 1.0055530541797988, 'uncertainty': 2.0111061083595976, 'constraining': 0.8804842663464907, 'modal-strong': 0.16509079993996698, 'modal-moderate': 0.21511831507329032}"
1544511600,1326380,GME,0001326380-18-000122,"{'negative': 1.761158021712907, 'polarity': -0.4599998093300791, 'positive': 0.32569360675512665, 'litigious': 0.26537997587454765, 'modal-weak': 0.22919179734620024, 'uncertainty': 1.0856453558504222, 'constraining': 0.8685162846803377, 'modal-strong': 0.14475271411338966, 'modal-moderate': 0.18094089264173704}"
1536645600,1326380,GME,0001326380-18-000113,"{'negative': 0.9112914708813898, 'polarity': 0.044776095935632663, 'positive': 0.49836252313826, 'litigious': 0.2847785846504343, 'modal-weak': 0.2705396554179126, 'uncertainty': 0.8828136124163463, 'constraining': 0.34173430158052115, 'modal-strong': 0.12815036309269542, 'modal-moderate': 0.07119464616260858}"
1528783200,1326380,GME,0001326380-18-000075,"{'negative': 0.7443170388251861, 'polarity': 0.03896101380841562, 'positive': 0.40233353450010056, 'litigious': 0.3621001810500905, 'modal-weak': 0.8449004224502112, 'uncertainty': 1.4685174009253672, 'constraining': 0.3419835043250855, 'modal-strong': 0.08046670690002011, 'modal-moderate': 0.08046670690002011}"
1522648800,1326380,GME,0001326380-18-000033,"{'negative': 1.7844823621395394, 'polarity': -0.15476185468769346, 'positive': 0.6530837510923055, 'litigious': 0.5748976682150577, 'modal-weak': 1.0072207147127812, 'uncertainty': 1.9454537092397552, 'constraining': 0.8600469116497262, 'modal-strong': 0.15177298440877526, 'modal-moderate': 0.2069631605574208}"
=======
>>>>>>> finnhub service is added and orgnized based on the proposed structure.
